Name,Units,PID,OBD2 Mode,Length (Bytes),Scaling,Maximum Value,Minimum Value,Notes
,,,,,,,,
The general broadcast ID is 0x7DF.,"General Broadcast To Network:
0x7DF         8         01         3E         00 00 00 00 00 00
Bcast ID         CAN LEN         LEN         MODE         UNUSED BYTES (PADDING)",,,,,,,
,,,,,,,,
NOTE: Scaling factor implies multiplication (EG: a scaling factor of 0.1 is applied by multiplying the result by 0.1).,,,,,,,"0.00
0.00",
"Relays Status
Max Cells Supported Count",,"0xF004
0xF006","0x22
0x22","2
1",None None,"65,535.00
255.00",,
Populated Cell Count,,0xF007,0x22,1,None,255.00,0.00,
Pack Charge Current Limit,Amps,0xF00A,0x22,2,None,"65,535.00",0.00,
Pack Discharge Current Limit,Amps,0xF00B,0x22,2,None,"65,535.00",0.00,
Signed Pack Current,Amps,0xF00C,0x22,2,0.1,"32,767.00","-32,767.00",
Unsigned Pack Current,Amps,0xF015,0x22,2,0.1,"65,535.00",0.00,"NOTE: To get actual amperage, subtract 32767 from the value."
Pack Voltage,Volts,0xF00D,0x22,2,0.1,"65,535.00",0.00,
Pack Open Voltage,Volts,0xF00E,0x22,2,0.1,"65,535.00",0.00,
Pack State of Charge,%,0xF00F,0x22,1,0.5,100.00,0.00,
Pack Amphours,Amphours,0xF010,0x22,2,0.1,"65,535.00",0.00,
Pack Resistance,mOhm,0xF011,0x22,2,0.01,"65,535.00",0.00,
Pack Depth of Discharge,%,0xF012,0x22,1,0.5,100.00,0.00,
Pack Health,%,0xF013,0x22,1,None,100.00,0.00,
Pack Summed Voltage,Volts,0xF014,0x22,2,0.01,"65,535.00",0.00,
Total Pack Cycles,#,0xF018,0x22,2,None,"65,535.00",0.00,
Highest Pack Temperature,Celsius,0xF028,0x22,1,None,80.00,-40.00,
Lowest Pack Temperature,Celsius,0xF029,0x22,1,None,80.00,-40.00,
Avg. Pack Temperature,Celsius,0xF02A,0x22,1,None,80.00,-40.00,
Heatsink Temperature Sensor,Celsius,0xF02D,0x22,1,None,80.00,-40.00,
Fan Speed,#,0xF02B,0x22,1,None,6.00,0.00,
Requested Fan Speed,#,0xF02C,0x22,1,None,6.00,0.00,
Low Cell Voltage,Volts,0xF032,0x22,2,0.0001,5.00,0.00,
Low Cell Voltage ID (Cell Num),#,0xF03E,0x22,2,None,180.00,0.00,
High Cell Voltage,Volts,0xF033,0x22,2,0.0001,5.00,0.00,
High Cell Voltage ID (Cell Num),#,0xF03D,0x22,2,None,180.00,0.00,
Avg. Cell Voltage,Volts,0xF034,0x22,2,0.0001,5.00,0.00,
Low Opencell Voltage,Volts,0xF035,0x22,2,0.0001,5.00,0.00,
Low Opencell Voltage ID (Cell Num),#,0xF040,0x22,2,None,180.00,0.00,
High Opencell Voltage,Volts,0xF036,0x22,2,0.0001,5.00,0.00,
High Opencell Voltage ID (Cell Num),#,0xF03F,0x22,2,None,180.00,0.00,
Avg. Opencell Voltage,Volts,0xF037,0x22,2,0.0001,5.00,0.00,
Low Cell Resistance,mOhm,0xF038,0x22,2,0.01,655.35,0.00,
Low Cell Resistance ID (Cell Num),#,0xF042,0x22,2,None,180.00,0.00,
High Cell Resistance,mOhm,0xF039,0x22,2,0.01,655.35,0.00,
High Cell Resistance ID (Cell Num),#,0xF041,0x22,2,None,180.00,0.00,
Avg. Cell Resistance,mOhm,0xF03A,0x22,2,0.01,655.35,0.00,
